"","X.GSM2184194.","X.GSM2184195.","X.GSM2184196.","X.GSM2184197.","X.GSM2184198.","X.GSM2184199.","X.GSM2184200.","X.GSM2184201.","X.GSM2184202.","X.GSM2184203.","X.GSM2184204.","X.GSM2184205.","X.GSM2184206.","X.GSM2184207."
"HNMT",8.167984925,7.408088971,7.41704143,7.873738101,7.850206415,8.668239531,8.411261062,8.262050676,8.661143876,8.023325463,8.16795817,7.645392822,7.687455852,8.179344073
"SPOPL",9.154742571,8.35768218,8.274211209,8.096480645,8.274304437,9.224971677,9.360440057,9.343367944,9.359945553,8.369555383,8.339903755,8.473804746,8.393681232,9.178214629
"KYNU",5.513971704,4.439559711,4.332719071,4.904584101,5.619082977,8.454500422,8.870645639,8.597721986,9.162912321,5.601717626,5.551207361,4.358309869,4.424618744,5.4754694
"ARHGAP15",5.147930518,4.657993168,4.682027566,4.656533405,4.703920489,5.24816091,5.178085684,5.201896069,5.189122225,4.661873399,4.677549828,4.66511022,4.651789182,5.114672695
"PABPC1P2",7.110482102,5.99088432,5.9256901,5.967410458,5.925665753,7.088671108,6.758130934,7.119975372,7.106090696,6.048410488,5.921017728,6.028073416,6.143061247,7.015130327
"ACVR2A",7.806420777,7.359109122,7.224202346,6.780948393,6.857142326,7.06571192,7.649326797,7.290542636,7.43228062,6.782116413,7.230941944,7.489676425,7.5649927,7.758216849
"MBD5",8.126653941,7.369700423,7.424918164,7.251244649,7.111419809,8.150765205,8.336419397,8.297844949,8.142538984,7.106909597,7.029619978,7.667408649,7.428191046,8.136053568
"EPC2",9.875436479,9.401260962,9.346577084,9.377789617,9.457375111,9.909955705,9.852883735,9.816460185,10.02022517,9.470703398,9.36938211,9.413487929,9.534605435,9.813389772
"KIF5C",6.310726835,5.531452833,5.682931344,5.099519776,5.271109831,5.995781271,8.167925027,7.91966402,6.022767392,5.431086715,5.100695237,5.566455348,5.544835604,6.455378767
"LYPD6B",8.776542978,7.440715912,7.356509303,6.226467361,6.085401165,7.202381002,10.97359924,10.76153913,6.742223814,5.789346183,6.154434649,7.282418868,7.466110757,8.671492212
"LYPD6",9.265052428,8.044965658,7.771502151,6.183571563,6.415013458,7.368310654,10.49657002,10.42198266,6.914793168,6.192818668,6.460690609,7.880497833,7.966942428,9.216622341
"TNFAIP6",8.220743477,8.080034279,8.080922028,9.644930564,10.13728537,10.65602154,11.5890221,11.51706335,11.42249974,10.11880179,9.618513318,8.482951871,8.648224843,8.775616746
"RIF1",10.4268855,10.06348659,10.07196833,10.33461718,10.33679676,10.61019139,10.72491606,10.77869371,10.81056624,10.27884918,10.32497079,10.16399507,10.05293513,10.5406765
