"Gene","Correlation"
"IRF2BP1",0.906638554397062
"SUPT5H",0.906464760461634
"RABL6",0.906450836031854
"BAX",0.906450034702952
"SCAMP2",0.906385893517197
"LYAR",0.906334732784658
"RNF167",0.905990006727251
"SCRN2",0.905924026673013
"SMG5",0.905683362390111
"CHCHD2",0.905662435669054
"AKIP1",0.905626613739972
"PABPC4",0.905623888491464
"PRKCSH",0.905541732910046
"TRAPPC2L",0.905526518014144
"SNRPE",0.905521599262206
"OSER1",0.905462213053752
"NDUFA1",0.905226783389105
"CLN6",0.905148470726897
"SRC",0.905133068907562
"BCL7C",0.905071499870194
"TOR1A",0.904846327948945
"ATOX1",0.904778503992504
"PBDC1",0.904763013423258
"AAAS",0.904535657834505
"ENDOG",0.904295464636041
"NOP14",0.904249485317651
"ANXA11",0.904167967840112
"TMEM109",0.904151799059056
"MYL6",0.904078224416098
"KLC2",0.904017734327555
"MAP3K11",0.903981843224625
"DBNL",0.903893037682893
"TIMM13",0.903858480967867
"TMEM205",0.903819746452833
"PML",0.90368854034923
"KRI1",0.903686758371105
"TRAPPC5",0.90366102419846
"FKBP2",0.903425472298915
"CCDC124",0.903178120703325
"OTUB1",0.902917309846886
"BIN3",0.902837334710709
"EIF2S2",0.902697395593813
"NDUFS8",0.902645560765164
"COA3",0.90259997576287
"SDF2L1",0.902402663616911
"UQCRQ",0.9022800199024
"SSR4",0.902149208900445
"TBC1D13",0.90204736860859
"ARMCX6",0.902037405298039
"PPIC",0.901920889812465
"RPS6KB2",0.901842401890192
"RNF121",0.901794815251594
"KPNA6",0.901573933312576
"RUVBL2",0.90154853873028
"EIF1AD",0.901500469156107
"SART1",0.901468078788871
"RPL35",0.901289525075668
"NPM3",0.901258328880985
"PPIB",0.901213917195261
"IGFBP6",0.901183454209153
"ATG101",0.901149073764315
"SH2B1",0.901123074093661
"VPS4A",0.901107932575069
"SRSF3",0.90087869343971
"DUSP23",0.900874882768481
"CYB5R1",0.900660849529141
"SNF8",0.900597822935501
"EIF3A",0.900466629793273
"GDF15",0.900405916762262
"DOHH",0.900391901667958
"TMEM222",0.90029788122026
"RPS14",0.900274778445793
"USE1",0.899594927114868
"SAC3D1",0.899590373062017
"TPD52L2",0.89958983513995
"MRPL53",0.899510434803276
"NDUFB7",0.89950128782016
"C8orf33",0.899498638519116
"BOP1",0.899404556586907
"PSMD3",0.899386806159833
"DOK1",0.899008607638829
"RBMX2",0.898890041043022
"NMT1",0.898831271908361
"RRP12",0.898791724550028
"POP4",0.898665718399494
"DDX23",0.898617552199646
"MYL6B",0.898388409122704
"FAU",0.898369152645677
"RRP9",0.898142670139367
"RABEP2",0.89803517330219
"CD82",0.897994851405227
"HTATSF1",0.897908906421272
"PRMT7",0.897872914990138
"AP2S1",0.897845565340142
"AP4B1",0.897603469868688
"MTX1",0.897473986257976
"VAMP5",0.897458719349105
"MBD3",0.897394207372676
"ERI3",0.897354964428006
"LAGE3",0.89729103717452
"B4GALT2",0.897266850855093
"RAB13",0.897266440671214
"CETN2",0.897215631627893
"WDR18",0.896937078135503
"NOC4L",0.896785319271305
"PGLS",0.896779691976056
"TRAPPC3",0.896668354634017
"SLC39A4",0.896302072007348
"RPL11",0.896287276249669
"PPP4C",0.896207063242392
"SPC24",0.896075078405939
"SIRT6",0.896037308013484
"RPS26",0.896005822560503
"BLMH",0.895979347007464
"CYB561",0.895959284940903
"PELP1",0.895826820527435
"SNRPD2",0.895717539480068
"GSK3A",0.895690635095211
"TUSC2",0.895631935478865
"TMUB1",0.895600798776594
"C7orf50",0.895244473638182
"PPIF",0.895116668602234
"STX8",0.894963003274933
"ANAPC2",0.894806600183996
"RFXANK",0.894772863140409
"WDR45",0.894746347291752
"OAZ1",0.894707567472455
"SH3BP5L",0.89469479301028
"CHTF8",0.89457691697515
"FAM50A",0.894255303977763
"TADA3",0.894150805160849
"WDR54",0.893913860783247
"PSMD9",0.893884254531114
"TPRA1",0.893751408505095
"RRP36",0.893747950419362
"OPTN",0.893605033075886
"UBE2J2",0.893571872977269
"TMEM219",0.893529518593175
"PSMB10",0.893144402502331
"GINS2",0.892905848530572
"ACOT7",0.892846591936992
"LMAN2",0.892292384366981
"JAGN1",0.892190955426236
"DDX55",0.892084488044611
"RRS1",0.89158202181649
"EFEMP2",0.891333384334268
"GPN2",0.891192068626941
"INCENP",0.891186140755708
"SLC35C1",0.891117925486421
"TMEM115",0.890982627383928
"JMJD6",0.890951523498989
"VPS51",0.890844934314769
"PTGES",0.890814479539562
"NR2C2AP",0.89062413761447
"SURF6",0.890527316844734
"SDC4",0.89052603747888
"AAMP",0.890418298405203
"ZMAT2",0.890201383938427
"MAP1S",0.890188155716178
"UQCR11",0.890143187081378
"CCT8",0.890113934617356
"PUSL1",0.890104501661445
"SPATA33",0.890093041108326
"RAC1",0.889785067056712
"CD320",0.889772381968245
"DAPK3",0.889765095241239
"HNRNPA1",0.889738310642136
"LAMTOR4",0.889705807366129
"CD151",0.889690607414344
"FDPS",0.889687278280426
"SLC1A5",0.889308105149744
"ZNF593",0.889103778917177
"PIGU",0.889073030910339
"EFHD2",0.888975731922196
"TNIP1",0.888957802559595
"HMBS",0.888916244587353
"EMC3",0.888770581916649
"ADCK2",0.888470748466287
"CLPP",0.888296115544855
"CDT1",0.888276372644714
"REEP4",0.888226465517044
"CAPNS1",0.888156411414906
"JOSD2",0.888118308798009
"GALNT2",0.888117791090561
"METTL1",0.887972522015155
"MIS18A",0.887953608190072
"TBCA",0.887951131894264
"SRA1",0.887926392125208
"NDUFV1",0.887866739594422
"ACTR1A",0.88782472690633
"APH1A",0.887777994961349
"PSEN2",0.887776293701214
"RIC8A",0.887748245509511
"RPUSD1",0.887621466768436
"SLC39A7",0.887540975903063
"SCAND1",0.887436245575998
"EFTUD2",0.887363255753798
