"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ARHGAP28",-1.66375,2.094375,-2.08021961071479,0.0556386795239436,0.348675475729461,-4.26294922542416
"NPY1R",48.3225,25.62375,2.07955552952659,0.0557075149763676,0.348676682012037,-4.26402722661505
"CCDC81",0.32375,0.600625,2.07946577795717,0.0557168241996047,0.348676682012037,-4.26417290643485
"TBP",3.41875,13.703125,2.0793283308032,0.0557310832845465,0.348676682012037,-4.26439599680251
"S100A11",-351.93875,833.484375,-2.07891710782337,0.055773764557588,0.348676682012037,-4.26506340692519
"GRIN3B",0.57,0.43625,2.0785865051987,0.0558080999631452,0.348676682012037,-4.26559992159709
"SUPT16H",8.32124999999999,28.190625,2.07853883838416,0.0558130521005282,0.348676682012037,-4.26567727349566
"PTPN1",6.43125000000001,26.803125,2.07844576703302,0.0558227225110524,0.348676682012037,-4.2658283035065
"MRS2",5.79,4.95,2.07822965195451,0.055845183503369,0.348676682012037,-4.26617898720377
"AMPD1",5.17375,2.608125,2.07802409311001,0.0558665550935272,0.348676682012037,-4.26651252408075
"NPC2",-142.3125,205.12625,-2.07779558088103,0.0558903219375834,0.348676682012037,-4.26688328473728
"NRBF2",-16.44375,34.098125,-2.07752326523018,0.0559186567853923,0.348676682012037,-4.26732508877767
"SPAG17",12.5275,6.34375,2.07750319193695,0.05592074596421,0.348676682012037,-4.26735765443707
"ETHE1",3.90125,20.579375,2.07730632543186,0.0559412391496982,0.348676682012037,-4.26767702973975
"ENTPD6",8.52749999999999,15.835,2.07728251531807,0.0559437181760786,0.348676682012037,-4.26771565567562
"STT3A",32.70875,71.566875,2.07722615049895,0.0559495870881203,0.348676682012037,-4.26780709253872
"PRICKLE4",1.985,3.18,2.07717823811384,0.0559545763470033,0.348676682012037,-4.26788481657439
"KDM3B",4.38625,13.501875,2.07706701906163,0.0559661594947264,0.348676682012037,-4.26806523384959
"HDGFL3",7.3375,28.97625,2.07657717399524,0.0560172017183381,0.348704433724828,-4.26885979091528
"ZNF75A",2.33,5.2025,2.07657534791836,0.0560173920770031,0.348704433724828,-4.26886275273596
"GCOM1",-0.85375,1.091875,-2.07646999901944,0.0560283751388245,0.348704433724828,-4.2690336219781
"MCC",2.92,6.50125,2.07488230059113,0.0561941393470291,0.349615959365869,-4.2716082236798
"KLHL17",4.86625,6.575625,2.0741202523913,0.0562738613383921,0.349811239373819,-4.27284359315208
"PAX7",0.6025,0.30375,2.07406998047935,0.0562791242105945,0.349811239373819,-4.27292508152909
"DNASE2",-12.88875,45.144375,-2.07402845806333,0.0562834714557622,0.349811239373819,-4.27299238661595
"SNX9",-26.14375,49.084375,-2.07269452724686,0.0564232935363955,0.350495917673313,-4.27515422759552
"RRAS2",-9.3125,19.275,-2.07260833414304,0.0564323392377772,0.350495917673313,-4.27529389197167
"FNDC3A",5.26125,14.914375,2.072330955818,0.0564614582906246,0.350499681926198,-4.27574332588601
"UVSSA",1.72875,5.020625,2.07219557305181,0.0564756757289799,0.350499681926198,-4.2759626741559
"GPR75-ASB3",1.84125,4.299375,2.0719649618492,0.0564999013127778,0.350499681926198,-4.27633629516014
"SMAD5",2.4225,10.31125,2.07178339628316,0.0565189813999797,0.350499681926198,-4.2766304404524
"MFSD9",0.56375,2.298125,2.07119553740716,0.056580798066427,0.350499681926198,-4.27758270920679
"ATE1",1.59,5.85,2.07113502531711,0.0565871647798327,0.350499681926198,-4.27768072436335
"VWCE",0.37625,0.596875,2.07086354176227,0.0566157367310107,0.350499681926198,-4.2781204446419
"APOH",-0.77875,0.859375,-2.07059836724227,0.0566436574973973,0.350499681926198,-4.27854991724586
"AKAP11",-2.315,10.7225,-2.07013354014085,0.0566926306313219,0.350499681926198,-4.27930267502672
"MAGEA3",10.33375,5.559375,2.07007402559923,0.0566989037587126,0.350499681926198,-4.27939904866699
"LHX9",-0.29375,0.508125,-2.07006092291649,0.0567002849320448,0.350499681926198,-4.27942026603107
"GIT1",7.49374999999999,32.355625,2.07000485279191,0.0567061957168343,0.350499681926198,-4.2795110604064
"KMT2A",2.2325,6.1,2.06998807091316,0.0567079649343746,0.350499681926198,-4.27953823506034
"PRR11",13.06875,21.460625,2.06993843184825,0.0567131983942011,0.350499681926198,-4.27961861420971
"CAPS",143.48375,79.840625,2.06984321629412,0.0567232382378492,0.350499681926198,-4.27977279128314
"KHDC4",5.22499999999999,18.9325,2.06960820756029,0.0567480253298153,0.35053324923202,-4.2801533116032
"TXLNG",1.215,5.8975,2.06894043469709,0.0568185117234812,0.350848982551643,-4.28123443000193
"PYGB",20.87,33.57375,2.0685572291773,0.0568589970951147,0.350979310289578,-4.28185475424888
"LPP",2.91,8.3525,2.0680609532182,0.0569114676696842,0.351070316567299,-4.28265802526983
"TXNDC5",24.61875,72.560625,2.06805110893987,0.0569125089416151,0.351070316567299,-4.2826739581773
"CLDN20",0.205,0.23625,2.06742254661004,0.0569790309561976,0.35124173384593,-4.28369120075228
"NKX2-1",0.725,0.3625,2.06727066884646,0.0569951151987556,0.35124173384593,-4.28393697003768
"2022-09-14 00:00:00",0.28,0.56625,2.06720362030715,0.0570022171373814,0.35124173384593,-4.28404546528993
"ARID3B",0.961249999999999,2.108125,2.06705584252354,0.0570178729781367,0.35124173384593,-4.28428458687694
"HTT",2.5175,9.42375,2.06665903053855,0.0570599314939139,0.351253559795979,-4.28492663052526
"NUDT8",1.445,4.5725,2.06661757759216,0.057064326778883,0.351253559795979,-4.2849936978742
"TMEM248",9.40750000000001,46.5075,2.0664888656998,0.0570779761735722,0.351253559795979,-4.28520193831541
"SERPINA6",-0.71625,0.516875,-2.06563167806662,0.0571689541150558,0.351334931079435,-4.28658859257144
"TMEM160",4.92625,25.238125,2.06560196361844,0.0571721102573058,0.351334931079435,-4.28663665561474
"SMC5",3.1875,11.17375,2.06554750062171,0.0571778955006461,0.351334931079435,-4.28672474843363
"GGT1",-10.15625,14.981875,-2.06544711956817,0.0571885597240379,0.351334931079435,-4.28688710962053
"SLC39A7",15.9025,58.21375,2.06528910536586,0.0572053504459944,0.351334931079435,-4.28714268110534
"BTN2A2",3.52,6.04125,2.06511877572691,0.0572234548883776,0.351334931079435,-4.28741816008021
"PIGS",8.855,26.78125,2.06487336044929,0.0572495494848881,0.351334931079435,-4.28781505631542
"DACH1",3.6625,2.17625,2.06484949874021,0.0572520872435336,0.351334931079435,-4.28785364519149
"CD274",15.09625,13.094375,2.06472067620496,0.0572657896607858,0.351334931079435,-4.28806197145824
"AHRR",-1.3975,2.23875,-2.06398474605721,0.0573441258371684,0.35148301071143,-4.28925195574873
"TNFRSF25",4.8125,5.74375,2.06397575792326,0.0573450831883173,0.35148301071143,-4.28926648800972
"C1orf52",3.8475,7.16,2.06390678947504,0.0573524296980988,0.35148301071143,-4.28937799698313
"MAF1",-19.90625,72.994375,-2.06376482452712,0.0573675545062662,0.35148301071143,-4.28960752139417
"SH2D6",-0.45125,0.606875,-2.06310471842948,0.0574379297024033,0.351725859456819,-4.29067465142526
"SGO1",4.12375,9.165625,2.06286787058485,0.0574631998344354,0.351725859456819,-4.29105749700117
"ZNF227",2.85875,3.975625,2.06284675771578,0.0574654529364876,0.351725859456819,-4.29109162314662
"PSMD12",6.17625,20.398125,2.06259167835882,0.0574926806524152,0.351773628140504,-4.29150391055996
"WDR37",2.3,5.13125,2.06204124458506,0.0575514755009488,0.352014445389288,-4.29239349142532
"JAM2",-17.44875,28.999375,-2.06119507703298,0.0576419669819449,0.352276793360645,-4.29376077843938
"B3GNT5",2.89375,8.855625,2.06108477420063,0.0576537726903097,0.352276793360645,-4.29393899054194
"COL21A1",2.9325,1.67375,2.06093526627421,0.0576697780625875,0.352276793360645,-4.29418053684882
"TCF7L1",4.3825,3.58,2.06082717129393,0.05768135256801,0.352276793360645,-4.29435517031895
"MAP1LC3B2",-0.82125,2.235625,-2.0607312795626,0.0576916221692714,0.352276793360645,-4.29451008474074
"MTAP",13.36625,7.954375,2.06026113329928,0.0577419971540523,0.352465557956535,-4.29526955785999
"NCBP2-AS2",7.07875,18.403125,2.05971667089981,0.0578003853872549,0.352703092907201,-4.29614896752
"KLHL23",3.29625,3.038125,2.05942253397681,0.0578319512233724,0.352776850322161,-4.29662400350435
"FGF5",1.825,2.72625,2.05879193346717,0.0578996785977389,0.352965486191623,-4.29764231375189
"UBXN6",-28.94625,75.666875,-2.05858549899888,0.0579218657614729,0.352965486191623,-4.29797563398275
"LRRC2",0.64625,0.854375,2.05852678570527,0.0579281775741868,0.352965486191623,-4.2980704324295
"UHMK1",7.41999999999999,16.70125,2.058409099489,0.0579408310114127,0.352965486191623,-4.29826044424537
"SEC22B",178.2075,135.61625,2.05795893991612,0.0579892548776482,0.353043279441668,-4.29898720261351
