gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,RR9
LPCAT4,20.3144,13.5241,20.8406,15.4652,16.4315,16.1165,14.8555,17.0756,15.9678,27.0272,26.8019,26.7038,23.6512,23.6512,22.8186,25.4016,27.8867,27.7619
LPGAT1,0.727854,1.36359,2.56132,9.2676,8.45949,8.9518,11.3978,11.2709,11.1508,19.2991,18.8861,20.2066,13.4247,13.4247,13.7495,6.36011,6.45104,6.33812
LPIN1,17.0676,15.0627,15.5502,10.0292,10.4025,10.7545,8.56904,8.06752,8.33896,4.31273,4.62804,4.58923,4.9443,4.9443,4.77506,8.2401,8.00402,8.49205
LPIN2,0.0,0.0,0.0,10.8515,10.685,10.9553,13.0385,12.5518,12.1686,5.81369,5.63156,5.592,5.94723,5.94723,6.67395,3.82183,3.72047,3.62056
LPIN3,0.266577,0.249794,1.17188,0.0199545,0.03084,0.0341051,0.0137474,0.0,0.0146811,0.10461,0.0522362,0.103552,0.030087,0.030087,0.0691535,0.191287,0.221341,0.308279
LPL,11.2538,9.37483,5.49531,0.0,0.0,0.0,0.0,0.0,0.0,0.124958,0.109197,0.0309208,0.0587713,0.0587713,0.153425,0.103257,0.103549,0.0515034
LPO,10.9949,9.89553,10.1402,0.015686,0.0168562,0.0,0.0,0.0203024,0.0,0.021905,0.0,0.0,0.0,0.0,0.0,0.0961384,0.0482031,0.0719149
LPP,37.5229,39.4622,41.4901,5.15345,4.83107,5.12527,6.74422,6.92275,7.0973,11.5214,10.9498,11.1454,7.68988,7.68988,7.75347,4.73673,4.78409,5.08185
LPP-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPP-AS2,25.2802,25.2527,25.0294,1.4002,1.30406,1.40644,1.27919,1.34026,1.39142,0.743713,0.825318,0.879109,1.08874,1.08874,0.967985,1.74654,1.77424,1.53843
LPPR1,0.525583,0.492859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196705,0.245583,0.0973191,0.0555557,0.0555557,0.0557564,0.107695,0.297002,0.187961
LPPR2,0.0,0.0,0.0,73.2328,74.6411,71.982,66.3134,69.1018,67.7074,32.8977,32.7534,32.6394,28.1999,28.1999,28.3533,64.8837,60.8096,63.174
LPPR3,0.0,0.0,0.0,0.0200422,0.04053,0.0,0.0,0.0,0.0,0.0791078,0.0263265,0.0260794,0.139033,0.139033,0.0797235,0.432571,0.231356,0.31635
LPPR4,9.28463,7.58409,8.63507,1.98135,1.94957,2.18548,2.53602,2.56484,2.60401,0.0,0.0,0.0235871,0.0,0.0,0.0,0.0,0.0,0.0
LPPR5,18.0806,18.0367,18.5855,0.0,0.022435,0.0,0.0150134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPXN,0.0,0.0,0.0,19.9997,22.2425,21.4103,19.6344,21.8888,21.0941,37.8966,41.0928,41.2873,26.2369,26.2369,27.726,25.8456,26.507,26.4452
LRAT,0.976154,1.60062,2.14579,0.00931603,0.00941683,0.0416714,0.0125969,0.045263,0.0,0.0732746,0.0,0.0,0.0275589,0.0275589,0.0184487,0.175341,0.216414,0.174932
LRBA,0.0,0.106465,0.0,7.92089,7.77741,7.84721,10.0781,9.94924,8.88085,4.69099,4.65609,4.46416,4.63787,4.63787,4.74101,2.31735,2.64135,2.25558
LRCH1,12.3644,13.9402,10.5973,7.28528,7.94315,7.97596,7.79637,8.12667,8.07775,8.48469,9.19097,9.26703,8.82895,8.82895,9.22179,6.37258,5.49274,6.0701
LRCH2,6.62855,8.20703,5.72451,0.518908,0.560683,0.500055,0.592613,0.814592,0.579073,0.035531,0.0473177,0.0351729,0.0623806,0.0623806,0.0268373,0.065432,0.0262354,0.0
LRCH3,18.5375,12.9135,10.4621,8.99091,8.64325,8.83664,9.81127,9.22611,8.74821,4.89768,4.26064,5.49726,7.12071,7.12071,6.40935,3.97417,4.3898,4.50899
LRCH4,24.0424,20.5419,21.1068,14.7994,14.2346,14.6217,13.3533,12.3427,12.549,11.8309,11.6302,11.8759,10.7657,10.7657,12.1913,33.3665,34.6584,33.349
LRCOL1,0.0,0.0,0.0,0.0,0.0626848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174105,0.174616,0.433413
LRFN1,10.2293,7.45766,10.8188,0.0576028,0.0873399,0.0643731,0.0585164,0.0350342,0.0,0.0189014,0.0,0.0,0.0426843,0.0426843,0.0,0.0207781,0.0416739,0.0829028
LRFN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRFN3,30.796,33.3866,26.9379,15.3807,16.4135,15.7394,13.5948,14.5843,13.6831,7.73568,8.06117,8.15222,10.6596,10.6596,10.1191,21.1462,21.0221,21.9272
LRFN4,5.74158,2.69169,7.35299,29.0681,28.3577,27.2137,23.7685,23.1777,24.5669,18.3141,17.9113,17.4151,19.6392,19.6392,20.6829,72.6649,74.9647,74.3192
