gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
ZNF211,8.95,8.15,1.33,1.24,1.65,7.32,6.89,6.37,7.45,5.1,1.35,1.47,1.01,1.77,1.48,1.71
ELK3,8.84,13.94,26.06,25.55,27.3,22.61,22.06,23.26,6.89,7.99,18.27,16.52,19.03,21.7,20.67,21.94
DHX58,4.68,8.13,3.41,2.56,2.98,8.84,8.71,8.4,6.85,7.77,3.71,3.08,2.87,2.23,2.53,2.62
C17orf50,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.07,0.0,0.0,0.0,0.0,0.0,0.0
BLVRA,28.24,56.45,43.78,42.1,41.0,28.29,31.41,28.3,43.76,34.21,53.37,61.56,53.29,42.44,46.47,43.87
C7orf50,55.31,169.91,69.72,72.03,72.9,66.45,67.07,64.24,88.58,62.32,45.45,55.63,50.44,64.74,67.6,69.55
EME2,3.28,4.52,0.91,0.84,1.02,1.92,1.87,2.19,1.45,1.23,1.45,0.57,2.04,0.86,1.11,1.04
HBQ1,0.27,0.26,0.0,0.0,0.0,0.08,0.0,0.0,0.59,0.26,0.0,0.0,0.08,0.0,0.09,0.0
MYL7,0.29,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTP4A2,57.43,70.97,118.6,108.59,114.26,60.18,56.83,60.4,87.04,162.2,97.89,104.92,92.98,114.75,105.62,103.28
SIRT6,17.85,17.58,35.29,36.18,33.95,15.17,14.47,14.98,18.51,12.01,32.03,37.73,35.82,25.26,25.91,27.7
PHF6,9.09,7.53,9.48,9.15,11.92,28.05,28.21,30.65,4.61,5.55,9.13,6.72,8.96,13.12,11.93,12.11
SH3BP5L,13.17,17.14,17.89,19.54,19.19,18.14,18.68,18.38,11.18,10.59,13.66,12.31,12.58,13.75,14.22,15.33
PRADC1,18.82,27.14,17.2,19.72,19.39,17.87,18.47,18.7,19.26,15.33,18.77,21.69,18.25,12.77,14.68,13.79
PHF23,26.57,33.65,33.04,35.47,32.77,29.19,27.14,26.64,27.22,26.3,36.77,37.31,36.42,25.18,22.63,24.37
RUNX3,2.41,0.83,0.0,0.0,0.0,0.0,0.01,0.01,3.18,4.13,0.0,0.03,0.02,0.0,0.0,0.01
WNT3A,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
